id,name,mrp,sp,category
481,"ks,aud",150,150,
123,"lv,",400,380,
750,wdmam fidavd,600,400,
286,fmd;a ljr,50,50,
703,ghra,1000,1000,
704,gshqna,800,700,
151,"lqudrsld f;,a",150,150,
156,fgdms,5,5,
158,yelaia,750,680,
162,cqcqia,500,500,
163,"fc,s",500,500,
180,"nn,a.ua",2,2,
559,".a,Qfldaia",200,200,
536,inkafmgags,100,100,
514,bgsmkaoua,5,5,
4.79219E+12,ikalqhsla,660,650,
4.793E+12,"ghs,ala,Skra",300,300,
4.79208E+12,"jeia,ska",470,470,
4.79101E+12,"nfhdala,Ska",410,410,
4.79101E+12,wusra;d,150,145,
4.793E+12,fhda.ga mdkh,160,160,
10000,nSu lqvq,1000,900,
4.79217E+12,fldams,370,370,
4.79217E+12,"isoaodf,am",110,99,
4.79217E+12,"isoaodf,am",285,285,
4.79217E+12,"isoaodf,am",60,60,
4.79202E+12,ndua,100,100,
4.7921E+12,whfvlaia,190,172,
4.7921E+12,"isoaodf,am",120,120,
4.79202E+12,"kQva,aia",125,125,
4.79111E+12,weh,150,150,
4.79101E+12,wusraa;d,150,150,
4.79215E+12,fldams,25,25,
4.79111E+12,weh,150,150,
4.79101E+12,wusraa;d,150,150,
4.79215E+12,fldams,25,25,
4.79208E+12,"fmhdia fldf,dka",360,360,
4.79208E+12,"fmhdia fldf,dka",360,360,
4.79208E+12,"fmhdia fldf,dka",575,575,
4.79208E+12,"fmhdia fldf,dka",360,360,
4.79208E+12,"fmhdia fldf,dka",360,360,
4.79208E+12,"fmhdia fldf,dka",360,360,
4.79208E+12,fmhdia mjqvra,315,315,
4.79208E+12,fmhdia lqSua,800,800,
4.79208E+12,fmhdia lqSua,1100,1100,
4.79208E+12,fmhdia lqSua,370,370,
4.79208E+12,fmhdia lqSua,270,270,
4.79208E+12,fmhdia lqSua,370,370,
4.79208E+12,fmhdia lqSua,180,180,
4.79208E+12,fmhdia lqSua,800,800,
4.79208E+12,"jeia,ska",780,780,
4.79208E+12,"ikais,ala",700,700,
4.79601E+12,"ikais,ala",150,150,
4.79208E+12,"ikais,ala",700,700,
4.79208E+12,"ikais,ala",385,385,
4.79208E+12,"ikais,ala",625,625,
4.79208E+12,"ikais,ala",625,625,
4.79208E+12,"ikais,ala",150,150,
4.79208E+12,"ikais,ala",335,335,
4.79208E+12,"ikais,ala",625,625,
4.79208E+12,"ikais,ala",700,700,
4.79601E+12,"ikais,ala",150,150,
4.79208E+12,", Ieuamq",300,300,
4.79208E+12,", Ieuamq",520,520,
4.79208E+12,", Ieuamq",520,520,
4.79208E+12,", Ieuamq",470,470,
4.79208E+12,", Ieuamq",520,520,
4.79208E+12,", Ieuamq",520,520,
4.79208E+12,", Ieuamq",130,130,
4.79208E+12,vja,800,800,
4.79208E+12,vj,750,750,
4.79208E+12,vj,500,500,
4.79208E+12,vj,500,500,
4.79208E+12,vj,500,500,
4.79208E+12,vj,750,750,
4.79208E+12,vj,750,750,
4.79601E+12,wdhqIa,845,845,
4.79208E+12,wdhqIa,460,460,
4.79208E+12,"la,shra",870,870,
4.79208E+12,"la,shr",470,470,
4.79208E+12,"ikais,ala",625,625,
4.79208E+12,"la,shr",490,490,
4.79111E+12,fnans fjdIa,870,870,
4.79111E+12,fnans fjdIa,400,400,
4.79111E+12,fIrus lqSua,360,360,
4.79111E+12,fIrus lqSua,185,185,
4.79111E+12,fIrus lqSua,185,185,
4.79111E+12,"fldf,dka",360,360,
4.79111E+12,"fldf,dka",575,575,
4.79111E+12,f.dahd,350,350,
4.79111E+12,f.dahd,350,350,
4.79111E+12,"fj,ajga",400,400,
4.79111E+12,"fj,ajga",400,400,
4.79111E+12,"fj,ajga",400,400,
4.79111E+12,"fldf,dka",290,290,
4.79111E+12,"fnans Ths,a",450,450,
4.79111E+12,fnans Ieuamq,280,280,
4.79111E+12,fnans Ieuamq,280,280,
4.79111E+12,"fc,a",320,320,
4.79601E+12,"ikais,ala",150,150,
4.79204E+12,"fvfgda,a",135,135,
4.79204E+12,"fvfgda,a",135,135,
4.79204E+12,"fvfgda,a",135,135,
4.79204E+12,"fvfgda,a",135,135,
4.79111E+12,"fj,ajga",125,125,
4.79111E+12,"fj,ajgas",125,120,
4.79111E+12,"fj,ajgas",130,125,
4.796E+12,"le,ska",125,125,
4.796E+12,"le,ska",125,125,
4.796E+12,"le,ska",125,125,
4.79001E+12,iQqmamq,260,260,
4.79001E+12,iQqmamq,950,950,
4.792E+12,iQqmamq,960,960,
4.796E+12,"le,ska",90,90,
4.796E+12,"le,ska",90,90,
4.796E+12,"le,ska",90,90,
4.796E+12,"le,ska",125,120,
4.796E+12,"le,ska",175,1703,
4.79101E+12,fIAjska fmdua,525,525,
4.79202E+12,fIAjska fmdua,1750,1750,
4.79101E+12,fIAjska fmdua,525,525,
4.79101E+12,fIAjska fmdua,950,950,
