id,බ්ප්,mrp,sp,category
4.79E+12,පවුඩර්,300,300,
4.80E+12,ක්ලෝරෙක්ස්,65,65,
4.79E+12,අයුෂ්,235,235,
4.79E+12,පොල්කිරි,90,90,
4.79E+12,නූඩ්ල්ස්,420,390,
4.80E+12,සෝස් පැකට්,20,20,
4.79E+12,පැනි බීම,270,270,
4.80E+12,ගිනිපෙට්ටි,240,230,
4.79E+12,ෂැම්පු,300,300,
4.79E+12,ඇය,150,150,
4.80E+12,පැලවත්ත කිරි,1080,1070,
4.79E+12,කොත්තු මී,130,130,
4.79E+12,ඇන්කර්,550,545,
4.80E+12,බීම කුඩු,395,385,
4.79E+12,ක්ලෝරෙක්ස්,190,190,
4.79E+12,කොහොබ සබන්,125,120,
4.80E+12,සබන් කුඩු,575,575,
4.79E+12,බුෂ්,100,88,
4.79E+12,පැනි බීම,380,380,
4.79E+12,මැලිබන් කිරි,1050,1040,
4.79E+12,නූඩ්ල්ස්,99,99,
4.80E+12,සෝයා,60,60,
4.80E+12,විම්,60,60,
4.79E+12,ඩව්,750,750,
4.80E+12,සුප් කැට,600,590,
4.79E+12,ෂෙරමි,145,140,
4.79E+12,පැනි බීම,270,270,
4.79E+12,කොකා කෝලා,170,170,
4.79E+12,සුපර්ග්ලූ,95,95,
4.79E+12,අයිස්,1030,1030,
4.79E+12,බීම,380,380,
4.79E+12,පවුඩර්,330,330,
4.80E+12,සබන් කුඩු,190,190,
4.79E+12,චොක්ලට්,120,120,
4.80E+12,මාගරින්,650,640,
4.79E+12,දෙවෙනි බත,270,260,
4.80E+12,පාන් කුඩු,200,200,
4.79E+12,ටිකිරි,90,90,
4.79E+12,නූඩ්ල්ස්,130,130,
4.79E+12,නූඩ්ල්ස්,130,130,
4.80E+12,නූඩ්ල්ස්,315,310,
4.80E+12,මාගරින්,1900,1900,
406,පන්ච් කෑලි,50,40,
4.79E+12,කපුරු,160,160,
4.80E+12,හදුන්කූරු,50,50,
369,කෑනිස්සා,2000,1800,
399,උම්මලකඩ,3000,2480,
398,උම්මලකඩ කෑලි,2500,2200,
207,කිරි සම්බා,300,260,
426,කන්ඩිෂනර්,800,700,
481,නිල්මා,150,150,
123,කඩල,400,380,
750,ආප්ප සෝඩා,600,400,
286,පොත් කවර,50,50,
703,ටයර්,1000,1000,
704,ටියුබ්,800,700,
151,කුමාරිකා තෙල්,150,150,
156,ටොපි,5,5,
158,හැක්ස්,750,680,
162,ජුජුස්,500,500,
163,ජෙලි,500,500,
180,බබල්ගම්,2,2,
559,ග්ලූකෝස්,200,200,
536,සබන්පෙට්ටි,100,100,
514,ඉටිපන්දම්,5,5,
4.79E+12,සන්කුයික්,660,650,
4.79E+12,ටයිල්ක්ලීනර්,300,300,
4.79E+12,වැස්ලින්,470,470,
4.79E+12,බයෝක්ලීන්,410,410,
